,County,State,similarity_index,
60,"Cuyahoga, OH",OHIO,0.921317568,
61,"Camden, NJ",NEWJERSEY,0.920873723,
62,"Sacramento, CA",CALIFORNIA,0.920572473,
63,"Nueces, TX",TEXAS,0.920169302,
64,"Winnebago, IL",ILLINOIS,0.920027285,
65,"Cumberland, NC",NORTHCAROLINA,0.919892273,
66,"Hampden, MA",MASSACHUSETTS,0.919823971,
67,"Robeson, NC",NORTHCAROLINA,0.919473129,
68,"Carter, OK",OKLAHOMA,0.91941302,
69,"Clark, NV",NEVADA,0.919383429,
70,"JimWells, TX",TEXAS,0.918690519,
71,"Wyandotte, KS",KANSAS,0.918384707,
72,"Hendry, FL",FLORIDA,0.917095784,
73,"Nash, NC",NORTHCAROLINA,0.916932868,
74,"Bibb, GA",GEORGIA,0.916694567,
75,"Ector, TX",TEXAS,0.916625101,
76,"Tift, GA",GEORGIA,0.916301097,
77,"McKinley, NM",NEWMEXICO,0.91626368,
78,"Nolan, TX",TEXAS,0.916100878,
79,"Mobile, AL",ALABAMA,0.915672469,
80,"Bowie, TX",TEXAS,0.91563047,
81,"Vance, NC",NORTHCAROLINA,0.914992763,
82,"Mecklenburg, NC",NORTHCAROLINA,0.914933244,
83,"Cumberland, NJ",NEWJERSEY,0.914784962,
84,"Stanislaus, CA",CALIFORNIA,0.914604022,
85,"Denver, CO",COLORADO,0.914303817,
86,"Broward, FL",FLORIDA,0.913899751,
87,"Sebastian, AR",ARKANSAS,0.913892393,
88,"Chaves, NM",NEWMEXICO,0.913654941,
89,"Lenoir, NC",NORTHCAROLINA,0.913376295,
90,"Duval, TX",TEXAS,0.91336962,
91,"Muscogee, GA",GEORGIA,0.913351201,
92,"Edgecombe, NC",NORTHCAROLINA,0.913313452,
93,"Pueblo, CO",COLORADO,0.913285006,
94,"Hamilton, TN",TENNESSEE,0.912812499,
95,"RioArriba, NM",NEWMEXICO,0.912591763,
96,"Peoria, IL",ILLINOIS,0.912509486,
97,"Miller, AR",ARKANSAS,0.912145154,
98,"Lake, CA",CALIFORNIA,0.912014768,
99,"Lee, SC",SOUTHCAROLINA,0.911980622,
100,"NewCastle, DE",DELAWARE,0.91193615,
101,"Harris, TX",TEXAS,0.911681684,
102,"Brooks, GA",GEORGIA,0.911561106,
103,"Dauphin, PA",PENNSYLVANIA,0.911497144,
104,"Richmond, GA",GEORGIA,0.911226317,
105,"Victoria, TX",TEXAS,0.911164039,
106,"Gadsden, FL",FLORIDA,0.91113156,
107,"PalmBeach, FL",FLORIDA,0.910825479,
108,"Hampton, SC",SOUTHCAROLINA,0.91081591,
109,"Jefferson, KY",KENTUCKY,0.910804762,
110,"Bexar, TX",TEXAS,0.910784209,
111,"Tulare, CA",CALIFORNIA,0.910628751,
112,"Wicomico, MD",MARYLAND,0.910531503,
113,"Champaign, IL",ILLINOIS,0.910051698,
114,"Richmond, NY",NEWYORK,0.910023672,
115,"Passaic, NJ",NEWJERSEY,0.909850438,
116,"Greenville, SC",SOUTHCAROLINA,0.909308683,
117,"Scotland, NC",NORTHCAROLINA,0.909041095,
118,"Dallas, TX",TEXAS,0.908971062,
119,"Kent, DE",DELAWARE,0.908920845,
120,"Sedgwick, KS",KANSAS,0.908883209,
121,"Guilford, NC",NORTHCAROLINA,0.908810034,
122,"Clarendon, SC",SOUTHCAROLINA,0.90862513,
123,"Crockett, TN",TENNESSEE,0.908545517,
124,"Baldwin, GA",GEORGIA,0.908285426,
125,"Gregg, TX",TEXAS,0.908225245,
126,"Ramsey, MN",MINNESOTA,0.908096333,
127,"Columbia, FL",FLORIDA,0.907849736,
128,"Glynn, GA",GEORGIA,0.907744003,
129,"SanBernardino, CA",CALIFORNIA,0.907730198,
130,"Lake, IN",INDIANA,0.907725011,
131,"Clayton, GA",GEORGIA,0.907676867,
132,"Martin, NC",NORTHCAROLINA,0.907569617,
133,"Conecuh, AL",ALABAMA,0.907496729,
134,"Spalding, GA",GEORGIA,0.907457835,
135,"Howard, TX",TEXAS,0.90725007,
136,"Bell, TX",TEXAS,0.907157208,
137,"Chicot, AR",ARKANSAS,0.907113662,
138,"Florence, SC",SOUTHCAROLINA,0.907078354,
139,"Franklin, OH",OHIO,0.907052593,
140,"DeWitt, TX",TEXAS,0.906835477,
141,"Barnwell, SC",SOUTHCAROLINA,0.90681533,
142,"ElPaso, TX",TEXAS,0.90673436,
143,"Marion, TX",TEXAS,0.90670156,
144,"Halifax, NC",NORTHCAROLINA,0.906684459,
145,"Crittenden, AR",ARKANSAS,0.906661928,
146,"St.Francis, AR",ARKANSAS,0.906634463,
147,"Osceola, FL",FLORIDA,0.906630657,
148,"Madison, AL",ALABAMA,0.906607475,
149,"Kleberg, TX",TEXAS,0.90655397,
150,"Wilkes, GA",GEORGIA,0.906461013,
151,"Luna, NM",NEWMEXICO,0.9063966,
152,"Putnam, FL",FLORIDA,0.906314795,
153,"McLennan, TX",TEXAS,0.906232328,
154,"Meade, KS",KANSAS,0.906171364,
155,"Kings, CA",CALIFORNIA,0.906092079,
156,"Union, AR",ARKANSAS,0.90604071,
157,"Alamance, NC",NORTHCAROLINA,0.905964608,
158,"Willacy, TX",TEXAS,0.90593615,
159,"Curry, NM",NEWMEXICO,0.905686732,
160,"Sangamon, IL",ILLINOIS,0.905664693,
161,"Marlboro, SC",SOUTHCAROLINA,0.905540605,
162,"Roosevelt, NM",NEWMEXICO,0.905493847,
163,"Hamilton, OH",OHIO,0.905329566,
164,"DelNorte, CA",CALIFORNIA,0.905152284,
165,"Wayne, GA",GEORGIA,0.905097698,
166,"Pitt, NC",NORTHCAROLINA,0.905024346,
167,"Baltimore, MD",MARYLAND,0.904968632,
168,"Dallas, AL",ALABAMA,0.904896888,
169,"Ingham, MI",MICHIGAN,0.904857286,
170,"Wayne, NC",NORTHCAROLINA,0.904779731,
171,"Delaware, PA",PENNSYLVANIA,0.904686401,
172,"Montgomery, AL",ALABAMA,0.90441926,
173,"Jefferson, FL",FLORIDA,0.904353621,
174,"Pinellas, FL",FLORIDA,0.904177795,
175,"Alameda, CA",CALIFORNIA,0.904165,
176,"Montgomery, TN",TENNESSEE,0.904142638,
177,"Hill, MT",MONTANA,0.904104556,
178,"Providence, RI",RHODEISLAND,0.904051061,
179,"Bamberg, SC",SOUTHCAROLINA,0.903896125,
180,"Gonzales, TX",TEXAS,0.903795968,
181,"Escambia, AL",ALABAMA,0.903709263,
182,"Mississippi, MO",MISSOURI,0.903547491,
183,"Valencia, NM",NEWMEXICO,0.903418393,
184,"Butler, AL",ALABAMA,0.903329979,
185,"Hillsborough, FL",FLORIDA,0.903267482,
186,"Hudson, NJ",NEWJERSEY,0.903234406,
187,"Jackson, IL",ILLINOIS,0.90318801,
188,"Tarrant, TX",TEXAS,0.903126149,
189,"NewHaven, CT",CONNECTICUT,0.902964238,
190,"Shasta, CA",CALIFORNIA,0.902920044,
191,"Taylor, TX",TEXAS,0.902873663,
192,"Calhoun, AL",ALABAMA,0.902851734,
193,"Alexander, IL",ILLINOIS,0.902821792,
194,"Georgetown, SC",SOUTHCAROLINA,0.902718323,
195,"Geary, KS",KANSAS,0.902022206,
196,"Smith, TX",TEXAS,0.901936248,
197,"Monterey, CA",CALIFORNIA,0.901891309,
198,"Macon, AL",ALABAMA,0.901878211,
199,"Tehama, CA",CALIFORNIA,0.901868973,
200,"Fairfield, SC",SOUTHCAROLINA,0.901669571,
201,"Mercer, NJ",NEWJERSEY,0.901610764,
202,"Hempstead, AR",ARKANSAS,0.90159714,
203,"Manatee, FL",FLORIDA,0.901505755,
204,"Wichita, TX",TEXAS,0.901286393,
205,"Cook, IL",ILLINOIS,0.901278727,
206,"Yakima, WA",WASHINGTON,0.901202432,
207,"Crisp, GA",GEORGIA,0.901136582,
208,"Kershaw, SC",SOUTHCAROLINA,0.901111642,
209,"Washington, AR",ARKANSAS,0.90108004,
210,"Wilbarger, TX",TEXAS,0.901075186,
211,"Yuba, CA",CALIFORNIA,0.900956365,
212,"Wilson, NC",NORTHCAROLINA,0.900878361,
213,"Decatur, GA",GEORGIA,0.90077548,
214,"Cherokee, TX",TEXAS,0.900599922,
215,"Chatham, GA",GEORGIA,0.900559573,
216,"Bryan, OK",OKLAHOMA,0.900068538,
217,"Turner, GA",GEORGIA,0.900058738,
218,"St.Lucie, FL",FLORIDA,0.90002644,
219,"Pontotoc, OK",OKLAHOMA,0.899985915,
220,"Scott, MO",MISSOURI,0.899908433,
221,"Clarke, GA",GEORGIA,0.89986375,
222,"Douglas, NE",NEBRASKA,0.899844184,
223,"Okeechobee, FL",FLORIDA,0.899697121,
224,"Erie, NY",NEWYORK,0.899690926,
225,"Uvalde, TX",TEXAS,0.899554318,
226,"Webb, TX",TEXAS,0.899297003,
227,"Brazos, TX",TEXAS,0.899213294,
228,"Gray, TX",TEXAS,0.899052543,
229,"Brevard, FL",FLORIDA,0.898915928,
230,"Multnomah, OR",OREGON,0.898862425,
231,"Angelina, TX",TEXAS,0.898795707,
232,"Quitman, GA",GEORGIA,0.898584093,
233,"Wharton, TX",TEXAS,0.898554953,
234,"Volusia, FL",FLORIDA,0.898385342,
235,"Caddo, OK",OKLAHOMA,0.898382062,
236,"Emanuel, GA",GEORGIA,0.898375284,
237,"Modoc, CA",CALIFORNIA,0.89836148,
238,"Caldwell, TX",TEXAS,0.89831791,
239,"PrinceGeorge's, MD",MARYLAND,0.898219167,
240,"SanMiguel, NM",NEWMEXICO,0.898215253,
241,"Leflore, MS",MISSISSIPPI,0.898181494,
242,"Polk, FL",FLORIDA,0.898042318,
243,"Hidalgo, TX",TEXAS,0.898022372,
244,"Lauderdale, MS",MISSISSIPPI,0.897948243,
245,"Lauderdale, TN",TENNESSEE,0.897895518,
246,"Tuscaloosa, AL",ALABAMA,0.897620771,
247,"Roosevelt, MT",MONTANA,0.897619611,
248,"Dallas, AR",ARKANSAS,0.897596012,
249,"Tillman, OK",OKLAHOMA,0.897589263,
250,"Calhoun, GA",GEORGIA,0.897332758,
251,"Shawnee, KS",KANSAS,0.897222584,
252,"Montgomery, OH",OHIO,0.897069735,
253,"Putnam, GA",GEORGIA,0.897056454,
254,"Early, GA",GEORGIA,0.896951866,
255,"Peach, GA",GEORGIA,0.896868142,
256,"Houston, AL",ALABAMA,0.896734592,
257,"Monroe, NY",NEWYORK,0.896454002,
258,"Lowndes, GA",GEORGIA,0.896372631,
259,"Thomas, GA",GEORGIA,0.896186155,
260,"Mendocino, CA",CALIFORNIA,0.896147247,
261,"Beaufort, SC",SOUTHCAROLINA,0.896115026,
262,"Eddy, NM",NEWMEXICO,0.896047467,
263,"Solano, CA",CALIFORNIA,0.895973132,
264,"Desha, AR",ARKANSAS,0.895894681,
265,"Lancaster, SC",SOUTHCAROLINA,0.895834335,
266,"Pottawatomie, OK",OKLAHOMA,0.895762615,
267,"Franklin, FL",FLORIDA,0.895710858,
268,"Russell, AL",ALABAMA,0.895708426,
269,"Union, NM",NEWMEXICO,0.895693952,
270,"Marion, FL",FLORIDA,0.895631605,
271,"Anson, NC",NORTHCAROLINA,0.895625505,
272,"Liberty, GA",GEORGIA,0.895592564,
273,"Sutter, CA",CALIFORNIA,0.895569113,
274,"Lake, MT",MONTANA,0.89550568,
275,"Liberty, TX",TEXAS,0.895418965,
276,"Pasquotank, NC",NORTHCAROLINA,0.895329864,
277,"Colquitt, GA",GEORGIA,0.895327863,
278,"Navarro, TX",TEXAS,0.895294415,
279,"Charleston, SC",SOUTHCAROLINA,0.8952934,
280,"Pierce, WA",WASHINGTON,0.895291431,
281,"York, SC",SOUTHCAROLINA,0.895235319,
282,"Harmon, OK",OKLAHOMA,0.895187096,
283,"Dorchester, MD",MARYLAND,0.895105856,
284,"Atlantic, NJ",NEWJERSEY,0.895099017,
285,"Schenectady, NY",NEWYORK,0.895081611,
286,"Warren, MS",MISSISSIPPI,0.894969685,
287,"SantaBarbara, CA",CALIFORNIA,0.89496375,
288,"Monroe, AR",ARKANSAS,0.89489816,
289,"Lea, NM",NEWMEXICO,0.894843267,
290,"Ware, GA",GEORGIA,0.894832136,
291,"Tallapoosa, AL",ALABAMA,0.894640108,
292,"Chambers, AL",ALABAMA,0.894634499,
293,"Anderson, SC",SOUTHCAROLINA,0.894544565,
294,"Richmond, NC",NORTHCAROLINA,0.89444351,
295,"Fayette, KY",KENTUCKY,0.894423404,
296,"Washoe, NV",NEVADA,0.894142728,
297,"DeBaca, NM",NEWMEXICO,0.893839686,
298,"Clarke, AL",ALABAMA,0.8937109,
299,"Glacier, MT",MONTANA,0.893699598,
300,"SantaFe, NM",NEWMEXICO,0.893699434,
301,"Horry, SC",SOUTHCAROLINA,0.893518626,
302,"Orangeburg, SC",SOUTHCAROLINA,0.89344867,
303,"Matagorda, TX",TEXAS,0.893435595,
304,"Marengo, AL",ALABAMA,0.893288125,
305,"Pike, AL",ALABAMA,0.893269333,
306,"Riverside, CA",CALIFORNIA,0.893082458,
307,"Panola, MS",MISSISSIPPI,0.892970169,
308,"Limestone, TX",TEXAS,0.892950452,
309,"Floyd, GA",GEORGIA,0.892866643,
310,"Williamsburg, SC",SOUTHCAROLINA,0.892845588,
311,"Mississippi, AR",ARKANSAS,0.892664075,
312,"Vermilion, IL",ILLINOIS,0.892652277,
313,"Nye, NV",NEVADA,0.892635951,
314,"Rusk, TX",TEXAS,0.892627325,
315,"Columbus, NC",NORTHCAROLINA,0.89249008,
316,"Etowah, AL",ALABAMA,0.892296396,
317,"Swisher, TX",TEXAS,0.892296379,
318,"Hertford, NC",NORTHCAROLINA,0.892283845,
319,"Coffee, GA",GEORGIA,0.892107593,
320,"Toombs, GA",GEORGIA,0.892056952,
321,"Floyd, TX",TEXAS,0.89198924,
322,"Newton, GA",GEORGIA,0.891919891,
323,"Inyo, CA",CALIFORNIA,0.891898901,
324,"Hutchinson, TX",TEXAS,0.891870706,
325,"Travis, TX",TEXAS,0.891781923,
326,"Berrien, MI",MICHIGAN,0.891664974,
327,"Haywood, TN",TENNESSEE,0.891647501,
328,"Seminole, GA",GEORGIA,0.89163583,
329,"Laurens, GA",GEORGIA,0.891586648,
330,"St.Joseph, IN",INDIANA,0.891454079,
331,"SantaCruz, CA",CALIFORNIA,0.891368025,
332,"Calhoun, MI",MICHIGAN,0.891259082,
333,"Houston, GA",GEORGIA,0.89125313,
334,"Clark, AR",ARKANSAS,0.891247351,
335,"Laurens, SC",SOUTHCAROLINA,0.891180335,
336,"Jackson, FL",FLORIDA,0.891067786,
337,"Hennepin, MN",MINNESOTA,0.891054875,
338,"Walker, TX",TEXAS,0.891051232,
339,"Union, NJ",NEWJERSEY,0.891044178,
340,"Rockdale, GA",GEORGIA,0.890982328,
341,"McCurtain, OK",OKLAHOMA,0.890971154,
342,"Zavala, TX",TEXAS,0.890857446,
343,"Nacogdoches, TX",TEXAS,0.89084108,
344,"RockIsland, IL",ILLINOIS,0.890695163,
345,"ElPaso, CO",COLORADO,0.890673015,
346,"Monroe, PA",PENNSYLVANIA,0.890627247,
347,"DeSoto, FL",FLORIDA,0.890553835,
348,"Bay, FL",FLORIDA,0.890444478,
349,"Dorchester, SC",SOUTHCAROLINA,0.89042337,
350,"Jackson, OK",OKLAHOMA,0.890379826,
351,"Hartford, CT",CONNECTICUT,0.890269884,
352,"Maverick, TX",TEXAS,0.890265687,
353,"SanDiego, CA",CALIFORNIA,0.890254319,
354,"Drew, AR",ARKANSAS,0.890208031,
355,"Imperial, CA",CALIFORNIA,0.890100651,
356,"Cameron, TX",TEXAS,0.890018236,
357,"Swain, NC",NORTHCAROLINA,0.890017737,
358,"Spartanburg, SC",SOUTHCAROLINA,0.890001464,
359,"Okaloosa, FL",FLORIDA,0.889907943,
360,"Hansford, TX",TEXAS,0.88980521,
361,"Craven, NC",NORTHCAROLINA,0.889687863,
362,"Hardee, FL",FLORIDA,0.889647598,
363,"Essex, MA",MASSACHUSETTS,0.889537669,
364,"Seminole, FL",FLORIDA,0.889346019,
365,"Bristol, MA",MASSACHUSETTS,0.889345154,
366,"Camp, TX",TEXAS,0.889334929,
367,"Monroe, AL",ALABAMA,0.889249878,
368,"Allegheny, PA",PENNSYLVANIA,0.889148371,
369,"Irwin, GA",GEORGIA,0.889064654,
370,"Worcester, MA",MASSACHUSETTS,0.889020862,
371,"Robertson, TX",TEXAS,0.888960835,
372,"Lee, FL",FLORIDA,0.88890731,
373,"Grenada, MS",MISSISSIPPI,0.888803441,
374,"Harnett, NC",NORTHCAROLINA,0.888770669,
375,"St.Louis, MO",MISSOURI,0.888691938,
376,"Beaufort, NC",NORTHCAROLINA,0.88858823,
377,"Jasper, TX",TEXAS,0.888508201,
378,"Bastrop, TX",TEXAS,0.888432309,
379,"TomGreen, TX",TEXAS,0.888383895,
380,"Berkeley, SC",SOUTHCAROLINA,0.888161725,
381,"Grant, WA",WASHINGTON,0.888118217,
382,"Blaine, MT",MONTANA,0.888093541,
383,"Otero, NM",NEWMEXICO,0.888038568,
384,"Lamb, TX",TEXAS,0.888009024,
385,"Onondaga, NY",NEWYORK,0.888006315,
386,"Camden, GA",GEORGIA,0.887975175,
387,"Guadalupe, NM",NEWMEXICO,0.887830892,
388,"Union, SC",SOUTHCAROLINA,0.887814023,
389,"Granville, NC",NORTHCAROLINA,0.887808729,
390,"Albany, NY",NEWYORK,0.887766821,
391,"Kent, MI",MICHIGAN,0.887746073,
392,"Butte, CA",CALIFORNIA,0.887737073,
393,"Dyer, TN",TENNESSEE,0.887611453,
394,"Grant, NM",NEWMEXICO,0.887579624,
395,"NewHanover, NC",NORTHCAROLINA,0.887564773,
396,"Washington, NC",NORTHCAROLINA,0.887527721,
397,"Lehigh, PA",PENNSYLVANIA,0.887492549,
398,"Mahoning, OH",OHIO,0.887425216,
399,"Terry, TX",TEXAS,0.887345575,
400,"Knox, TN",TENNESSEE,0.887081221,
401,"Somerset, MD",MARYLAND,0.887062943,
402,"Kent, MD",MARYLAND,0.887014453,
403,"Clay, FL",FLORIDA,0.886856565,
404,"Tate, MS",MISSISSIPPI,0.886847032,
405,"Jasper, SC",SOUTHCAROLINA,0.886804247,
406,"Bradley, AR",ARKANSAS,0.886778435,
407,"Sonoma, CA",CALIFORNIA,0.886719418,
408,"Choctaw, OK",OKLAHOMA,0.88662221,
409,"Candler, GA",GEORGIA,0.886614308,
410,"Bradford, FL",FLORIDA,0.886480038,
411,"Hardeman, TN",TENNESSEE,0.886360561,
412,"Chowan, NC",NORTHCAROLINA,0.886359603,
413,"Muskegon, MI",MICHIGAN,0.886304266,
414,"Terrell, GA",GEORGIA,0.886301428,
415,"Allen, OH",OHIO,0.886286017,
416,"Gaston, NC",NORTHCAROLINA,0.886223106,
417,"Maury, TN",TENNESSEE,0.886221562,
418,"Rutherford, TN",TENNESSEE,0.886131761,
419,"Sussex, DE",DELAWARE,0.885725663,
420,"Rowan, NC",NORTHCAROLINA,0.885671773,
421,"Warren, NC",NORTHCAROLINA,0.885565448,
422,"Barrow, GA",GEORGIA,0.885506474,
423,"Sandoval, NM",NEWMEXICO,0.885455914,
424,"Gibson, TN",TENNESSEE,0.885422283,
425,"Sumter, AL",ALABAMA,0.885397455,
426,"Clay, MS",MISSISSIPPI,0.885367791,
427,"Pennington, SD",SOUTHDAKOTA,0.885255066,
428,"Hunt, TX",TEXAS,0.885202435,
429,"Summit, OH",OHIO,0.885111957,
430,"Cherokee, OK",OKLAHOMA,0.885101023,
431,"Huerfano, CO",COLORADO,0.884982442,
432,"Lincoln, GA",GEORGIA,0.884981194,
433,"Lake, FL",FLORIDA,0.884785622,
434,"Berks, PA",PENNSYLVANIA,0.884735763,
435,"Scurry, TX",TEXAS,0.884723606,
436,"ContraCosta, CA",CALIFORNIA,0.884668241,
437,"Finney, KS",KANSAS,0.88464414,
438,"SanFrancisco, CA",CALIFORNIA,0.884643159,
439,"Lowndes, MS",MISSISSIPPI,0.884592824,
440,"Adams, CO",COLORADO,0.884574392,
441,"Aiken, SC",SOUTHCAROLINA,0.884567319,
442,"Pottawattamie, IA",IOWA,0.884459199,
443,"Montgomery, KS",KANSAS,0.884455807,
444,"Dale, AL",ALABAMA,0.88439227,
445,"Randall, TX",TEXAS,0.884381584,
446,"Meriwether, GA",GEORGIA,0.884309667,
447,"Lander, NV",NEVADA,0.884186049,
448,"Anderson, TX",TEXAS,0.884141851,
449,"Yolo, CA",CALIFORNIA,0.88411235,
450,"Kankakee, IL",ILLINOIS,0.884078058,
451,"Greene, GA",GEORGIA,0.884023587,
452,"Douglas, GA",GEORGIA,0.883929754,
453,"Dodge, GA",GEORGIA,0.883917514,
454,"Adams, MS",MISSISSIPPI,0.883742207,
455,"Warren, GA",GEORGIA,0.883713234,
456,"Yazoo, MS",MISSISSIPPI,0.883576179,
457,"Humboldt, CA",CALIFORNIA,0.883537706,
458,"Pulaski, GA",GEORGIA,0.883454557,
459,"Glenn, CA",CALIFORNIA,0.883424327,
460,"Hidalgo, NM",NEWMEXICO,0.883372096,
461,"Orange, NY",NEWYORK,0.883339815,
462,"Greene, MO",MISSOURI,0.883324897,
463,"Brown, TX",TEXAS,0.883320122,
464,"Sunflower, MS",MISSISSIPPI,0.883286086,
465,"Calhoun, TX",TEXAS,0.883052215,
466,"SaltLake, UT",UTAH,0.883001481,
467,"Jefferson, GA",GEORGIA,0.882999996,
468,"Arapahoe, CO",COLORADO,0.882977092,
469,"Andrews, TX",TEXAS,0.882938422,
470,"Childress, TX",TEXAS,0.882914384,
471,"Calhoun, SC",SOUTHCAROLINA,0.882906772,
472,"Bullock, AL",ALABAMA,0.882897423,
473,"Colorado, TX",TEXAS,0.882847765,
474,"Kay, OK",OKLAHOMA,0.882847096,
475,"Essex, VA",VIRGINIA,0.882837487,
476,"Galveston, TX",TEXAS,0.882827075,
477,"Harrison, TX",TEXAS,0.882825775,
478,"Marion, OR",OREGON,0.882749975,
479,"Washington, MS",MISSISSIPPI,0.882741879,
480,"Craighead, AR",ARKANSAS,0.882738199,
481,"Franklin, WA",WASHINGTON,0.882735445,
482,"Sequoyah, OK",OKLAHOMA,0.882706175,
483,"Hockley, TX",TEXAS,0.882474137,
484,"Forrest, MS",MISSISSIPPI,0.882461974,
485,"SanAugustine, TX",TEXAS,0.882443706,
486,"Newberry, SC",SOUTHCAROLINA,0.882317344,
487,"Dallam, TX",TEXAS,0.882312816,
488,"Taylor, FL",FLORIDA,0.88223017,
489,"Washtenaw, MI",MICHIGAN,0.882073793,
490,"Okanogan, WA",WASHINGTON,0.882047157,
491,"Caswell, NC",NORTHCAROLINA,0.881994848,
492,"Pulaski, IL",ILLINOIS,0.881929008,
493,"Cobb, GA",GEORGIA,0.88188476,
494,"Sullivan, NY",NEWYORK,0.881866166,
495,"Bradley, TN",TENNESSEE,0.881810587,
496,"Mitchell, TX",TEXAS,0.88180589,
497,"SanLuisObispo, CA",CALIFORNIA,0.881722705,
498,"Quay, NM",NEWMEXICO,0.881687669,
499,"Custer, OK",OKLAHOMA,0.881685939,
500,"Cleveland, OK",OKLAHOMA,0.881594983,
501,"Troup, GA",GEORGIA,0.881581068,
502,"Sierra, NM",NEWMEXICO,0.881556781,
503,"Chester, SC",SOUTHCAROLINA,0.881459112,
504,"Adams, WA",WASHINGTON,0.881458333,
505,"Kearny, KS",KANSAS,0.881425718,
506,"Marshall, MS",MISSISSIPPI,0.881389269,
507,"Osage, OK",OKLAHOMA,0.881220399,
508,"Lexington, SC",SOUTHCAROLINA,0.881118978,
509,"Dunklin, MO",MISSOURI,0.881097837,
510,"Allen, IN",INDIANA,0.881071606,
511,"Hale, TX",TEXAS,0.88105952,
512,"Pasco, FL",FLORIDA,0.881059088,
513,"Highlands, FL",FLORIDA,0.881048018,
514,"Gwinnett, GA",GEORGIA,0.881036229,
515,"Macon, IL",ILLINOIS,0.881013801,
516,"BlackHawk, IA",IOWA,0.880953948,
517,"Alamosa, CO",COLORADO,0.880941575,
518,"Plumas, CA",CALIFORNIA,0.880939006,
519,"Person, NC",NORTHCAROLINA,0.880869055,
520,"Chesterfield, SC",SOUTHCAROLINA,0.88071861,
521,"Lanier, GA",GEORGIA,0.880718479,
522,"Lamar, GA",GEORGIA,0.880706276,
523,"Boone, MO",MISSOURI,0.880700777,
524,"Scott, IA",IOWA,0.880602585,
525,"Washington, GA",GEORGIA,0.88048649,
526,"SanPatricio, TX",TEXAS,0.880464038,
527,"Burke, GA",GEORGIA,0.880445875,
528,"Kalamazoo, MI",MICHIGAN,0.880405781,
529,"Pulaski, MO",MISSOURI,0.880249807,
530,"Tipton, TN",TENNESSEE,0.880225965,
